type,model_name,metric,1,2,3,foreground_mean
CNN,BaseMAE,Dice,0.5356212569407325,0.6173028844689937,0.6834221475621586,0.6121154296572949
CNN,BaseMAE,FN,1147.66,8316.22,2465.21,3976.3633333333332
CNN,BaseMAE,FP,441.56,7051.39,1195.72,2896.2233333333334
CNN,BaseMAE,IoU,0.43254626062568013,0.5120925222552785,0.552484971871836,0.4990412515842649
CNN,BaseMAE,NSD,0.6362799587321084,0.6234242505072896,0.8008320288342964,0.6868454126912314
CNN,BaseMAE,TN,8924027.26,8870043.77,8919654.09,8904575.040000001
CNN,BaseMAE,TP,2383.52,42588.62,4684.98,16552.373333333333
CNN,BaseMAE,n_pred,2825.08,49640.01,5880.7,19448.596666666668
CNN,BaseMAE,n_ref,3531.18,50904.84,7150.19,20528.736666666668
CNN,ConMAEFT,Dice,0.550850753948901,0.625784618698634,0.7058236738965249,0.62748634884802
CNN,ConMAEFT,FN,1014.1,8323.76,2071.37,3803.0766666666664
CNN,ConMAEFT,FP,501.46,7086.29,1368.23,2985.3266666666664
CNN,ConMAEFT,IoU,0.44085112616609784,0.5155894826098263,0.5714813063931916,0.5093073050563719
CNN,ConMAEFT,NSD,0.6716764037284821,0.6429131259653492,0.8285722271511691,0.7143872522816667
CNN,ConMAEFT,TN,8923967.36,8870008.87,8919481.58,8904485.936666666
CNN,ConMAEFT,TP,2517.08,42581.08,5078.82,16725.66
CNN,ConMAEFT,n_pred,3018.54,49667.37,6447.05,19710.986666666668
CNN,ConMAEFT,n_ref,3531.18,50904.84,7150.19,20528.736666666668
CNN,VarAligned2MAEFT,Dice,0.5472823687840541,0.6088022281550972,0.6909850539399468,0.615689883626366
CNN,VarAligned2MAEFT,FN,1088.84,8295.72,2185.6,3856.72
CNN,VarAligned2MAEFT,FP,464.95,7356.83,1319.4,3047.06
CNN,VarAligned2MAEFT,IoU,0.4423792557266778,0.5011719931882954,0.5594071767179473,0.5009861418776401
CNN,VarAligned2MAEFT,NSD,0.6553131224289903,0.6172271609637803,0.8211852006562773,0.697908494683016
CNN,VarAligned2MAEFT,TN,8924003.87,8869738.33,8919530.41,8904424.203333333
CNN,VarAligned2MAEFT,TP,2442.34,42609.12,4964.59,16672.016666666666
CNN,VarAligned2MAEFT,n_pred,2907.29,49965.95,6283.99,19719.076666666664
CNN,VarAligned2MAEFT,n_ref,3531.18,50904.84,7150.19,20528.736666666668
EVA,AlignedMAEFTLR3,Dice,0.45049522671572195,0.603075716046476,0.5898312297940987,0.5478007241854322
EVA,AlignedMAEFTLR3,FN,1806.76,8675.49,2882.3,4454.849999999999
EVA,AlignedMAEFTLR3,FP,480.99,7972.43,1316.8,3256.74
EVA,AlignedMAEFTLR3,IoU,0.34796882025531595,0.49766223650812,0.46082377364948146,0.4354849434709725
EVA,AlignedMAEFTLR3,NSD,0.5481346521192906,0.6067484443237502,0.6930966549884415,0.6159932504771608
EVA,AlignedMAEFTLR3,TN,8923987.83,8869122.73,8919533.01,8904214.523333333
EVA,AlignedMAEFTLR3,TP,1724.42,42229.35,4267.89,16073.886666666665
EVA,AlignedMAEFTLR3,n_pred,2205.41,50201.78,5584.69,19330.626666666667
EVA,AlignedMAEFTLR3,n_ref,3531.18,50904.84,7150.19,20528.736666666668
EVA,BaseMAE,Dice,0.42064797163109485,0.5927549852746261,0.5676334198360188,0.5270121255805799
EVA,BaseMAE,FN,1984.74,8718.18,2926.52,4543.1466666666665
EVA,BaseMAE,FP,432.82,8056.68,1333.9,3274.4666666666667
EVA,BaseMAE,IoU,0.321935390266422,0.4879859862683338,0.43996135013112075,0.4166275755552922
EVA,BaseMAE,NSD,0.5103137072392558,0.5914217890388213,0.6685748101007583,0.5901034354596117
EVA,BaseMAE,TN,8924036.0,8869038.48,8919515.91,8904196.796666667
EVA,BaseMAE,TP,1546.44,42186.66,4223.67,15985.590000000002
EVA,BaseMAE,n_pred,1979.26,50243.34,5557.57,19260.056666666667
EVA,BaseMAE,n_ref,3531.18,50904.84,7150.19,20528.736666666668
EVA,ConMAEFT,Dice,0.43376150191095036,0.6126291099361835,0.5997565303797052,0.548715714075613
EVA,ConMAEFT,FN,1837.25,8460.25,2846.37,4381.29
EVA,ConMAEFT,FP,535.98,7935.34,1307.7,3259.6733333333336
EVA,ConMAEFT,IoU,0.33318902237322595,0.503097202564147,0.4654169202129738,0.43390104838344895
EVA,ConMAEFT,NSD,0.5274562655723242,0.6158860706980377,0.708915165869351,0.6174191673799042
EVA,ConMAEFT,TN,8923932.84,8869159.82,8919542.11,8904211.59
EVA,ConMAEFT,TP,1693.93,42444.59,4303.82,16147.446666666665
EVA,ConMAEFT,n_pred,2229.91,50379.93,5611.52,19407.12
EVA,ConMAEFT,n_ref,3531.18,50904.84,7150.19,20528.736666666668
EVA,VarAligned2MAEFT,Dice,0.4373842047681026,0.6139647262627488,0.5932994653248806,0.5482161321185773
EVA,VarAligned2MAEFT,FN,1831.02,8808.11,2863.1,4500.743333333334
EVA,VarAligned2MAEFT,FP,482.97,7653.19,1320.53,3152.23
EVA,VarAligned2MAEFT,IoU,0.3367685242043036,0.5035074834071593,0.4609530448196926,0.43374301747705185
EVA,VarAligned2MAEFT,NSD,0.5357931816662533,0.6166917251710988,0.7044248430361186,0.6189699166244903
EVA,VarAligned2MAEFT,TN,8923985.85,8869441.97,8919529.28,8904319.033333333
EVA,VarAligned2MAEFT,TP,1700.16,42096.73,4287.09,16027.993333333337
EVA,VarAligned2MAEFT,n_pred,2183.13,49749.92,5607.62,19180.22333333333
EVA,VarAligned2MAEFT,n_ref,3531.18,50904.84,7150.19,20528.736666666668
CNN,AlignedMAE,Dice,0.5388561970304755,0.6294382367182954,0.7021515061812654,0.6234819799766788
CNN,AlignedMAE,FN,1107.86,9116.3,2032.78,4085.646666666667
CNN,AlignedMAE,FP,424.04,6377.46,1385.73,2729.0766666666664
CNN,AlignedMAE,IoU,0.4312649720874045,0.5184836540349632,0.5716976432355407,0.5071487564526361
CNN,AlignedMAE,NSD,0.6591690034409905,0.6459946440924955,0.8229030253153661,0.7093555576162841
CNN,AlignedMAE,TN,8924044.78,8870717.7,8919464.08,8904742.186666666
CNN,AlignedMAE,TP,2423.32,41788.54,5117.41,16443.09
CNN,AlignedMAE,n_pred,2847.36,48166.0,6503.14,19172.166666666668
CNN,AlignedMAE,n_ref,3531.18,50904.84,7150.19,20528.736666666668
CNN,BaseMAE,Dice,0.5356212569407325,0.6173028844689937,0.6834221475621586,0.6121154296572949
CNN,BaseMAE,FN,1147.66,8316.22,2465.21,3976.3633333333332
CNN,BaseMAE,FP,441.56,7051.39,1195.72,2896.2233333333334
CNN,BaseMAE,IoU,0.43254626062568013,0.5120925222552785,0.552484971871836,0.4990412515842649
CNN,BaseMAE,NSD,0.6362799587321084,0.6234242505072896,0.8008320288342964,0.6868454126912314
CNN,BaseMAE,TN,8924027.26,8870043.77,8919654.09,8904575.040000001
CNN,BaseMAE,TP,2383.52,42588.62,4684.98,16552.373333333333
CNN,BaseMAE,n_pred,2825.08,49640.01,5880.7,19448.596666666668
CNN,BaseMAE,n_ref,3531.18,50904.84,7150.19,20528.736666666668
CNN,ConAlignedMAE,Dice,0.5347106629240246,0.6354861394180678,0.698013852559248,0.6227368849671134
CNN,ConAlignedMAE,FN,1144.68,8546.89,2032.68,3908.0833333333335
CNN,ConAlignedMAE,FP,429.71,6892.2,1342.72,2888.2099999999996
CNN,ConAlignedMAE,IoU,0.42945717503671893,0.5245148976789947,0.5642245721749799,0.5060655482968979
CNN,ConAlignedMAE,NSD,0.6389179533545338,0.6509556628011203,0.8224241677730977,0.704099261309584
CNN,ConAlignedMAE,TN,8924039.11,8870202.96,8919507.09,8904583.053333333
CNN,ConAlignedMAE,TP,2386.5,42357.95,5117.51,16620.653333333332
CNN,ConAlignedMAE,n_pred,2816.21,49250.15,6460.23,19508.86333333333
CNN,ConAlignedMAE,n_ref,3531.18,50904.84,7150.19,20528.736666666668
CNN,ConMAEFT,Dice,0.550850753948901,0.625784618698634,0.7058236738965249,0.62748634884802
CNN,ConMAEFT,FN,1014.1,8323.76,2071.37,3803.0766666666664
CNN,ConMAEFT,FP,501.46,7086.29,1368.23,2985.3266666666664
CNN,ConMAEFT,IoU,0.44085112616609784,0.5155894826098263,0.5714813063931916,0.5093073050563719
CNN,ConMAEFT,NSD,0.6716764037284821,0.6429131259653492,0.8285722271511691,0.7143872522816667
CNN,ConMAEFT,TN,8923967.36,8870008.87,8919481.58,8904485.936666666
CNN,ConMAEFT,TP,2517.08,42581.08,5078.82,16725.66
CNN,ConMAEFT,n_pred,3018.54,49667.37,6447.05,19710.986666666668
CNN,ConMAEFT,n_ref,3531.18,50904.84,7150.19,20528.736666666668
CNN,VarAligned2MAEFT,Dice,0.5472823687840541,0.6088022281550972,0.6909850539399468,0.615689883626366
CNN,VarAligned2MAEFT,FN,1088.84,8295.72,2185.6,3856.72
CNN,VarAligned2MAEFT,FP,464.95,7356.83,1319.4,3047.06
CNN,VarAligned2MAEFT,IoU,0.4423792557266778,0.5011719931882954,0.5594071767179473,0.5009861418776401
CNN,VarAligned2MAEFT,NSD,0.6553131224289903,0.6172271609637803,0.8211852006562773,0.697908494683016
CNN,VarAligned2MAEFT,TN,8924003.87,8869738.33,8919530.41,8904424.203333333
CNN,VarAligned2MAEFT,TP,2442.34,42609.12,4964.59,16672.016666666666
CNN,VarAligned2MAEFT,n_pred,2907.29,49965.95,6283.99,19719.076666666664
CNN,VarAligned2MAEFT,n_ref,3531.18,50904.84,7150.19,20528.736666666668
EVA,AlignedMAEFTLR3,Dice,0.45049522671572195,0.603075716046476,0.5898312297940987,0.5478007241854322
EVA,AlignedMAEFTLR3,FN,1806.76,8675.49,2882.3,4454.849999999999
EVA,AlignedMAEFTLR3,FP,480.99,7972.43,1316.8,3256.74
EVA,AlignedMAEFTLR3,IoU,0.34796882025531595,0.49766223650812,0.46082377364948146,0.4354849434709725
EVA,AlignedMAEFTLR3,NSD,0.5481346521192906,0.6067484443237502,0.6930966549884415,0.6159932504771608
EVA,AlignedMAEFTLR3,TN,8923987.83,8869122.73,8919533.01,8904214.523333333
EVA,AlignedMAEFTLR3,TP,1724.42,42229.35,4267.89,16073.886666666665
EVA,AlignedMAEFTLR3,n_pred,2205.41,50201.78,5584.69,19330.626666666667
EVA,AlignedMAEFTLR3,n_ref,3531.18,50904.84,7150.19,20528.736666666668
EVA,BaseMAE,Dice,0.42064797163109485,0.5927549852746261,0.5676334198360188,0.5270121255805799
EVA,BaseMAE,FN,1984.74,8718.18,2926.52,4543.1466666666665
